Número;Pergunta;Resposta
1;Quais são os principais direitos das igrejas no Brasil?;O principal direito de uma Igreja é a liberdade religiosa. Mas as igrejas também possuem direito à imunidade tributária, isentando a igreja de pagar impostos sobre a sua arrecadação, além de isenções como IPTU e IPVA, desde que estejam regularizadas junto à Receita Federal.
2;Quais documentos são necessários para solicitar a isenção do IPTU?;Em geral, os documentos necessários para solicitar a isenção do IPTU são: Estatuto, Ata de Fundação, última ata registrada, CNPJ, documento de posse do imóvel ou contrato de locação, e identificação do presidente da igreja.
3;Igrejas em imóveis alugados podem solicitar isenção do IPTU?;Em algumas cidades é permitido solicitar a isenção de IPTU, mesmo que o imóvel seja alugado. Mas algumas prefeituras só concedem isenção do IPTU para igrejas que são proprietárias dos seus imóveis
4;Qual é o maior direito de uma igreja no Brasil?;O maior direito é a liberdade religiosa, que permite realizar cultos e encontros sem interferência do Estado.
5;O que é necessário para que uma igreja adquira personalidade jurídica?;"A igreja precisa registrar seu estatuto em cartório e obter um CNPJ.
"
6;Quais tributos as igrejas estão imunes de pagar?;As igrejas têm imunidade de impostos sobre a sua arrecadação, desde que estes recursos sejam relacionadas às suas atividades fundamentais.
7;Quais documentos são necessários para registrar uma igreja?;Em geral, os documentos necessários para registrar uma igreja são: Ata de Fundação, Estatuto Social, Lista de Membros fundadores.
8;Quais são os passos iniciais para abrir uma igreja evangélica?;Elaboração de Estatuto Social, eleição de diretoria, registro em cartório e obtenção de CNPJ junto à Receita Federal.
9;Qual é a natureza jurídica de uma igreja?;As igrejas são consideradas organizações religiosas, parte do Terceiro Setor, sem fins lucrativos.
10;É necessário contratar um contador para abrir uma igreja?;Sim, a contratação de um escritório de contabilidade especializado é recomendada, pois o processo envolve muitos detalhes, que sem o auxílio especializado podem fazer com que a igreja tenha custos desnecessários, além de o processo levar mais tempo que o necessário. Infelizmente, muitos pastores tentam regularizar suas igrejas sem o auxílio de um profissional e acabam realizando o registro de maneira incorreta
11;Qualquer pessoa pode abrir uma igreja?;Sim, qualquer pessoa maior de 18 anos pode abrir uma igreja no Brasil, independentemente de sua formação ou cargo religioso. Também não existe nenhuma obrigação quanto a formação academica ou graduação, pois a função de líder religioso é considerada uma função vocacional
12;Um presbítero pode abrir uma igreja?;Sim, não há impedimento legal para um presbítero abrir uma igreja, porém, algumas denominações podem ter regras internas sobre quem pode liderar.
13;Quantas pessoas são necessárias para abrir uma igreja?;Não há exigência mínima de membros para a abertura de uma igreja, mas a maioria das igrejas é formada por uma diretoria com pelo menos presidente, secretário e tesoureiro.
14;Um pastor pode ser MEI?;Sim, um pastor pode ser MEI, mas o MEI não pode ser utilizado para atividades religiosas ou estar vinculado à igreja.
15;Por que um pastor presidente de uma igreja não pode ter problemas no MEI?;Caso o Pastor possuam um MEI e abra um CNPJ para sua Igreja, seu CPF estará vinculado ao CNPJ da igreja. Porém, a legislação do MEI não permite que o Microempreendor possua participação em outro CNPJ, o que pode gerar a exclusão do MEI.
16;Igrejas podem ser MEI?;Não, igrejas não podem ser MEI, pois são consideradas organizações religiosas e não empresariais.
17;Quais documentos são necessários para abrir uma igreja?;Em geral, os documentos necessários para registrar uma igreja são: Ata de Fundação, Estatuto Social, Lista de Membros fundadores.
18;O que é o Estatuto Social de uma igreja?;O Estatuto é o principal documento de uma Igreja, pois é ele que define as regras de funcionamento e administração da igreja.
19;Igrejas pequenas precisam de autorização de funcionamento?;Sim, todas as igrejas, independentemente do tamanho, da quantidade de membros ou do valor que arrecadam, precisam ser registradas junto ao governo para funcionarem legalmente.
20;Igrejas pequenas podem usar o CNPJ de uma Convenção?;Não, o uso do CNPJ de outra instituição configura fraude, pois a igreja deve ter seu próprio CNPJ.
21;Qual o número mínimo de membros para registrar uma igreja pequena?;Não existe um número mínimo de membros exigido por lei para registrar uma igreja. Por isso, muitos de nossos clientes possuem uma diretoria formada apenas pelo pastor e a esposa
22;Igrejas são obrigadas a abrir uma conta bancária?;Não, não existe uma obrigação legal quanto a obrigação de abertura de conta bancária, mas é altamente recomendável para gestão financeira adequada.
23;Quais são os principais benefícios de abrir uma conta digital para igrejas?;Menores custos, menos burocracia, maior comodidade, e acesso facilitado a serviços como PIX e cartão de crédito.
24;Quais documentos são necessários para abrir uma conta digital para igrejas?;CNPJ, Estatuto, Ata de Fundação, RG e CPF dos representantes legais, entre outros.
25;Quais os primeiros passos na organização interna da igreja?;Estabelecer uma estrutura organizacional clara, definir responsabilidades e criar políticas internas para gestão financeira e de recursos humanos.
26;Por que é importante manter a contabilidade da Igreja regularizada?;É importante manter a contabilidade da Igreja regularizada para cumprir com as obrigações fiscais junto ao governo e evitar que a igreja seja declarada como inapta pela Receita Federal, podendo até mesmo ter o seu CNPJ baixado
